model,dataset,exp,acc,f1,recall,precision,early_stopped_at,time
fcn,ACSF1,0,0.91,0.9109832552395482,0.91,0.9185392385392386,100,643.3675398826599
fcn,Adiac,0,0.8388746803069054,0.8389521890846776,0.8388746803069054,0.8516725743707841,100,2435.9441862106323
fcn,ArrowHead,0,0.84,0.838957935251939,0.84,0.8543332277478618,100,293.64491271972656
fcn,Beef,0,0.7,0.6965617715617716,0.7,0.7809523809523811,100,164.6185600757599
fcn,BeetleFly,0,0.8,0.7979797979797979,0.8,0.8125,100,163.12420773506165
fcn,BirdChicken,0,0.95,0.949874686716792,0.95,0.9545454545454545,100,164.44055581092834
fcn,BME,0,0.72,0.7167999002256991,0.72,0.7181925401739643,100,176.50629544258118
fcn,Car,0,0.9,0.8999623607347186,0.9,0.9060606060606061,100,305.1116032600403
fcn,CBF,0,0.9711111111111111,0.9710856860813364,0.9711111111111111,0.9720973340839961,100,173.57226753234863
fcn,Chinatown,0,0.9795918367346939,0.9797527015094049,0.9795918367346939,0.9804155641392176,100,175.36899089813232
fcn,ChlorineConcentration,0,0.815625,0.8147647437262912,0.815625,0.8141796111717003,100,2231.7575345039368
fcn,CinCECGTorso,0,0.7739130434782608,0.7765155569586886,0.7739130434782608,0.7965634965284581,100,342.9242525100708
fcn,Coffee,0,1.0,1.0,1.0,1.0,100,171.18409419059753
fcn,Computers,0,0.812,0.8119729241010705,0.812,0.8121798155737705,100,1239.0984570980072
fcn,CricketX,0,0.7846153846153846,0.7780602616322276,0.7846153846153846,0.7869276466212488,100,2110.0202164649963
fcn,CricketY,0,0.7692307692307693,0.7660469410069904,0.7692307692307693,0.7754267483259958,100,2102.1142807006836
fcn,CricketZ,0,0.7769230769230769,0.7729151698699573,0.7769230769230769,0.772484105126897,100,2098.69176530838
fcn,Crop,0,0.7403571428571428,0.740050076245924,0.7403571428571428,0.7450678346213612,100,39487.88211226463
fcn,DiatomSizeReduction,0,0.9215686274509803,0.9170912062402385,0.9215686274509803,0.9281242795580699,100,170.76645708084106
fcn,DistalPhalanxOutlineCorrect,0,0.75,0.7457088852135481,0.75,0.748900462962963,100,2814.4140293598175
fcn,DistalPhalanxOutlineAgeGroup,0,0.7266187050359713,0.7263964143986991,0.7266187050359713,0.7276954751987884,100,1944.6401195526123
fcn,DistalPhalanxTW,0,0.6618705035971223,0.6710888879581511,0.6618705035971223,0.7008403393484802,100,2004.1463170051575
fcn,Earthquakes,0,0.7553956834532374,0.7278938753758897,0.7553956834532374,0.7248516975892969,100,1649.0748953819275
fcn,ECG200,0,0.89,0.8896517087018233,0.89,0.8894945054945055,100,597.903710603714
fcn,ECG5000,0,0.9397777777777778,0.9322890827774531,0.9397777777777778,0.9294369784331497,100,2495.49747300148
fcn,ECGFiveDays,0,0.983739837398374,0.9837399690041967,0.983739837398374,0.9837507166956415,100,173.11007237434387
fcn,ElectricDevices,0,0.7161198288159771,0.7036871852148573,0.7161198288159771,0.7283086163570105,100,43520.076093673706
fcn,EOGHorizontalSignal,0,0.6657458563535912,0.6713077132005696,0.6657458563535912,0.7033887091930633,100,1986.4188661575317
fcn,EOGVerticalSignal,0,0.46408839779005523,0.46487767561336646,0.46408839779005523,0.5147923547802271,100,1996.8671514987946
fcn,EthanolLevel,0,0.766,0.7638578403081308,0.766,0.7725235076803422,100,2544.236663579941
fcn,FaceAll,0,0.9420118343195266,0.9425950022564261,0.9420118343195266,0.9528424460123263,100,2976.0116608142853
fcn,FaceFour,0,0.9090909090909091,0.9093073593073594,0.9090909090909091,0.9183712121212121,100,169.18029260635376
fcn,FacesUCR,0,0.9370731707317074,0.9358847129995714,0.9370731707317074,0.9389588832557263,100,1174.6530306339264
fcn,FiftyWords,0,0.5318681318681319,0.5069507201863921,0.5318681318681319,0.507762002756049,100,3190.2686750888824
fcn,Fish,0,0.9714285714285714,0.971319720699169,0.9714285714285714,0.9720914542728636,100,948.6898684501648
fcn,FordA,0,0.9318181818181818,0.9318069118633179,0.9318181818181818,0.9342640482099079,100,17168.910326242447
fcn,FordB,0,0.7950617283950617,0.7950554802770251,0.7950617283950617,0.7950589278458831,100,17383.20665216446
fcn,FreezerRegularTrain,0,0.9964912280701754,0.9964912263422475,0.9964912280701754,0.9964922060788302,100,786.3057224750519
fcn,FreezerSmallTrain,0,0.7919298245614035,0.7919138130050019,0.7919298245614035,0.7920197044334975,100,195.43347764015198
fcn,GunPoint,0,0.9933333333333333,0.9933324440887468,0.9933333333333333,0.9934199134199135,100,310.34835982322693
fcn,GunPointAgeSpan,0,0.9715189873417721,0.9715129971641421,0.9715189873417721,0.9724614134437395,100,757.2464108467102
fcn,GunPointMaleVersusFemale,0,0.9968354430379747,0.9968359194795887,0.9968354430379747,0.9968564003688489,100,756.0132715702057
fcn,GunPointOldVersusYoung,0,1.0,1.0,1.0,1.0,100,758.8194351196289
fcn,Ham,0,0.7142857142857143,0.7138188608776844,0.7142857142857143,0.7180451127819548,100,609.2354798316956
fcn,HandOutlines,0,0.9135135135135135,0.9143595769682725,0.9135135135135135,0.917906631807977,100,5200.112483501434
fcn,Haptics,0,0.43506493506493504,0.44114585405774326,0.43506493506493504,0.4614205953572498,100,791.84810090065
fcn,Herring,0,0.640625,0.6151352677319877,0.640625,0.6315051020408163,100,307.136812210083
fcn,HouseTwenty,0,0.9747899159663865,0.9747532760651677,0.9747899159663865,0.9748585148345051,100,311.9535608291626
fcn,InlineSkate,0,0.3890909090909091,0.37813407504803936,0.3890909090909091,0.3897289470812432,100,654.2884402275085
