model,dataset,exp,mse,mae,r2,rmse,best_train_loss,time
fcn_reg,FloodModeling1,0,4.257487434463449e-05,0.00459104053454824,0.8801566135789907,0.006524942478262509,3.336081208544783e-05,2245.2199420928955
fcn_reg,FloodModeling2,0,2.5779738884802113e-05,0.0021151333899047243,0.9247476040179312,0.005077375196378746,9.644946855284313e-06,2252.6495072841644
fcn_reg,Covid3Month,0,0.0021717567687765896,0.039917007187900484,-0.09062169638779549,0.046602111205143806,0.0009581018588505685,740.1627678871155
fcn_reg,AppliancesEnergy,0,9.986600545202712,2.371384302775065,0.15527244791133898,3.1601583101488306,0.07691392302513123,591.2754287719727
fcn_reg,BeijingPM10Quality,0,8789.103520780513,55.42459913611223,0.5190246156790803,93.75021877724079,118.00021980019741,60849.573461294174
fcn_reg,LiveFuelMoistureContent,0,1955.771620688721,32.64314874813257,-0.15621842589952362,44.224106782259845,1434.691025057706,17789.39235305786
fcn_reg,FloodModeling3,0,5.1047122355881186e-05,0.0052014587690000945,0.9006326780179251,0.007144726891623023,3.677476615848718e-05,2208.2978048324585
fcn_reg,BenzeneConcentration,0,26.206837450767413,3.754395067674486,0.5920183102496319,5.119261416529479,0.001520346435080726,15870.622151851654
fcn_reg,BIDMC32HR,0,126.97952854176125,8.589675314976008,0.35775652197060936,11.268519358893663,0.3005100703188058,31119.638570308685
fcn_reg,BIDMC32SpO2,0,33.83498102674167,4.492434575986048,-0.5395936215058585,5.816784423265287,0.06150241604010607,30386.634932756424
fcn_reg,IEEEPPG,0,1243.7885586117877,29.351431157215533,-0.28729192342240517,35.26738661443158,5.000806050641196,8471.493601083755
fcn_reg,BIDMC32RR,0,24.01713913300803,3.892153988385409,-0.9815343031328465,4.900728428816274,0.20343394743071663,29051.35967206955
fcn_reg,BeijingPM25Quality,0,3621.5505738838306,36.490535222029344,0.7144175409479611,60.179320151392794,1017.3874658579481,55074.050954818726
fcn_reg,HouseholdPowerConsumption1,0,23912.634096064012,40.1213600475656,0.9103283260598537,154.63710452560863,1531.0987294514973,3787.702253103256
fcn_reg,HouseholdPowerConsumption2,0,2084.0427613624947,30.930052386428454,0.25869412609751086,45.651317191977,56.892300287882485,3760.0842864513397
fcn_reg,PPGDalia,0,339.7961110051806,14.616575843783334,0.32106114391619767,18.433559368857132,287.79076677459335,356498.33752822876
fcn_reg,NewsHeadlineSentiment,0,0.020276877146471736,0.10918673815563422,-0.002171751032074898,0.14239690005920683,0.01995086781680584,255892.910479784
fcn_reg,NewsTitleSentiment,0,0.019215094187362766,0.0991559429832509,-0.007447281098184044,0.1386185203620453,0.018403796450066085,254738.6841595173
fcn_reg,AustraliaRainfall,0,269.79356721338553,2.3461443584794544,-2.5949870933829304,16.425393974373506,92.23100102784221,482896.54644465446
