model,dataset,exp,mse,mae,r2,rmse,best_train_loss,time
mlp,AppliancesEnergy,0,10.948081263891558,2.5798927942911782,0.07394454757105484,3.3087884888417327,1.7072256406148274,67.69097709655762
mlp,FloodModeling3,0,0.0006725433332707384,0.017449753116006435,-0.30915959332841725,0.025933440444158937,0.00037080904959501434,83.74092030525208
mlp,BenzeneConcentration,0,15.518186193267256,2.8457281980234224,0.7584166408142997,3.939312908778288,1.9302771965662637,159.67775797843933
mlp,BeijingPM10Quality,0,14169.625747857184,80.31952136821113,0.224580621488233,119.036237120707,1118.8206047487643,362.48235607147217
mlp,FloodModeling1,0,0.0003083909228985024,0.012966869196089187,0.13191493549728706,0.01756106269274449,0.00032572023725757995,33.316736936569214
mlp,HouseholdPowerConsumption2,0,4732.846979629155,51.285917370034376,-0.6835006130042103,68.79569012393985,271.28907012939453,40.445329904556274
mlp,LiveFuelMoistureContent,0,1580.9600160765908,28.706612082980328,0.0832270227540336,39.761287907669576,280.73029715798117,55.436750411987305
mlp,BIDMC32SpO2,0,458.2204358928323,16.911903603964422,-19.85041099289117,21.40608408590493,97.25997749416308,89.55233883857727
mlp,Covid3Month,0,0.0020438976047574445,0.03113584520417403,-0.02641285847090513,0.045209485782935474,0.000119027380424086,71.44629979133606
mlp,HouseholdPowerConsumption1,0,96085.22723118163,236.80350445727913,0.6396832263595089,309.9761720377578,20541.83378092448,98.53971815109253
mlp,BIDMC32HR,0,456.0001941878803,15.336710737863646,-1.3063808320959738,21.354161050902476,86.507235603771,260.2960932254791
mlp,BeijingPM25Quality,0,8754.480900581077,62.9530542474919,0.3096531078866416,93.56538302481894,538.2446787734453,320.0519816875458
mlp,FloodModeling2,0,0.0004411401540756441,0.005613991128864573,-0.2877110084951906,0.02100333673671029,0.00010904591763392091,84.45831108093262
mlp,IEEEPPG,0,2429.1792224410433,40.551184345440696,-1.5141433983634953,49.286704317097964,183.31657218933105,129.05606389045715
mlp,BIDMC32RR,0,23.675377098020782,4.141187100173931,-0.9533372230357842,4.86573500080109,2.4671387128662645,257.64728808403015
mlp,NewsHeadlineSentiment,0,0.020235255974617054,0.10894982298924515,-0.00011465109620667491,0.1422506800497525,0.020028156031097113,1164.9919996261597
mlp,NewsTitleSentiment,0,0.019075359413035568,0.09802798984328612,-0.00012098765938395317,0.13811357432575397,0.018502890710414457,1159.1599340438843
mlp,AustraliaRainfall,0,69.1051720718032,2.228547304386466,0.0791767044332502,8.312952067214342,401.602629683083,1503.5891308784485
mlp,PPGDalia,0,348.4619212107993,13.679768304742256,0.3037461862769315,18.667134788467116,112.42581873624789,967.0934929847717
