,model,dataset,exp,mse,mae,r2,rmse,best_train_loss,time
0,fcn_reg,FloodModeling1,0,3.157995914019956e-05,0.0041995643094034,0.9111060383698916,0.0056196048918228,5.773418342869263e-06,99.41355013847352
1,fcn_reg,FloodModeling2,0,2.599803827656709e-05,0.0028613105193892,0.924110376761862,0.0050988271471552,1.1692115303200504e-06,98.57101798057556
2,fcn_reg,Covid3Month,0,0.00452484570503,0.0616516942143073,-1.272305522267538,0.0672669733601125,0.0008255358377937,18.95974087715149
3,fcn_reg,AustraliaRainfall,0,80.94399740364696,2.434607010915284,-0.0785751082151635,8.996888206688297,10.57319272113608,57291.16709804535
4,fcn_reg,BeijingPM10Quality,0,8803.462726208605,55.14536636245988,0.5182388217317238,93.82676977392222,142.5049733834356,7610.25057888031
5,fcn_reg,LiveFuelMoistureContent,0,1132.0571400437277,23.04267399011069,0.3435384929809868,33.64605682756492,283.79067479913886,2876.280467748642
6,fcn_reg,FloodModeling3,0,3.256604173787601e-05,0.0038634319992169,0.936607585193754,0.0057066664295257,5.839619583574469e-06,411.8699581623077
7,fcn_reg,AppliancesEnergy,0,10.713933990063456,2.519956089201428,0.0937501513452097,3.2732146263365403,0.0469766433040301,47.99450469017029
8,fcn_reg,BenzeneConcentration,0,23.636286489416392,3.5636096069073,0.6320360242058314,4.861716413923831,0.0017830253323717,2262.006978273392
9,fcn_reg,NewsHeadlineSentiment,0,0.1244468165813926,0.1232283167748697,-5.150704725527374,0.3527702036473498,0.0125980320792123,34137.28831148148
10,fcn_reg,NewsTitleSentiment,0,1.9510730666383969,0.111169880854637,-101.29475000447678,1.3968081710236366,0.0113313320807979,23498.33727312088
11,fcn_reg,BIDMC32HR,0,128.23365501518586,8.857579983786376,0.351413337699642,11.324029981203063,0.3546664192416202,21275.086238622665
12,fcn_reg,BIDMC32SpO2,0,33.32219767528188,4.365561306799586,-0.5162604333921152,5.772538235064526,0.0598448350190602,19499.430332422256
13,fcn_reg,IEEEPPG,0,1157.020077050697,28.18850147867777,-0.1974885844643075,34.01499782523434,5.476277261972427,1756.2598893642426
14,fcn_reg,PPGDalia,0,198.74723449910093,10.4341737557008,0.6028876856728314,14.097774097321212,16.967730279678243,16825.14784502983
15,fcn_reg,BIDMC32RR,0,38.43189898231649,4.644886872330125,-2.170824207922992,6.199346657698413,0.2469144777465633,14737.435866594316
16,fcn_reg,BeijingPM25Quality,0,3809.64580521661,36.34677911645448,0.6995850271933981,61.72232825498897,59.70531712140858,6731.670184373856
17,fcn_reg,HouseholdPowerConsumption2,0,1172.24944295098,26.4274143835546,0.5830241999591435,34.23812849661879,63.96282903353373,2197.3161108493805
18,fcn_reg,HouseholdPowerConsumption1,0,2091.2827418277984,38.54746380074726,0.9921577512795756,45.7305449544153,258.4969364802043,2191.039099216461
