,model,dataset,exp,acc,f1,recall,precision,early_stopped_at,time
0,fcn,ACSF1,0,0.86,0.860035731038827,0.86,0.8788455988455988,2000,117.01129031181335
1,fcn,Adiac,0,0.5856777493606138,0.4942908930640642,0.5856777493606138,0.4634717234912811,2000,84.51460123062134
2,fcn,ArrowHead,0,0.7885714285714286,0.7911132797204904,0.7885714285714286,0.8408222035209987,2000,12.707300901412964
3,fcn,Beef,0,0.6666666666666666,0.6416892911010559,0.6666666666666666,0.7186147186147186,2000,13.9234721660614
4,fcn,BeetleFly,0,0.7,0.6875,0.7,0.7380952380952381,2000,13.574779510498049
5,fcn,BirdChicken,0,0.95,0.949874686716792,0.95,0.9545454545454544,2000,12.454061031341553
6,fcn,BME,0,0.7266666666666667,0.7239601014270629,0.7266666666666667,0.7247763446463856,2000,7.972193479537964
7,fcn,Car,0,0.9166666666666666,0.9164462081128748,0.9166666666666666,0.9252305665349144,2000,28.822181224823
8,fcn,CBF,0,0.9788888888888888,0.9788682876139316,0.9788888888888888,0.979344850670887,2000,9.115846157073976
9,fcn,Chinatown,0,0.979591836734694,0.9797527015094049,0.979591836734694,0.9804155641392176,2000,7.61663293838501
10,fcn,ChlorineConcentration,0,0.81171875,0.8068353725176578,0.81171875,0.8120215268062736,2000,93.26826071739195
11,fcn,CinCECGTorso,0,0.7702898550724637,0.766539794106366,0.7702898550724637,0.7840992219590533,2000,56.1039628982544
12,fcn,Coffee,0,1.0,1.0,1.0,1.0,2000,15.818623542785645
13,fcn,Computers,0,0.82,0.8197664172767907,0.82,0.821667524446732,2000,151.962082862854
14,fcn,CricketX,0,0.7948717948717948,0.7887374551431613,0.7948717948717948,0.7931032203847689,2000,134.09027791023254
15,fcn,CricketY,0,0.782051282051282,0.7792873597198943,0.782051282051282,0.7892190082675145,2000,165.13705682754517
16,fcn,CricketZ,0,0.7461538461538462,0.7405060943251282,0.7461538461538462,0.7405642833855504,2000,124.15204906463624
17,fcn,Crop,0,0.7547619047619047,0.751437772215793,0.7547619047619047,0.751125183574523,2000,1223.730880022049
18,fcn,DiatomSizeReduction,0,0.937908496732026,0.936679840152311,0.937908496732026,0.9438891387764394,2000,9.04206156730652
19,fcn,DistalPhalanxOutlineCorrect,0,0.7427536231884058,0.7405419117747886,0.7427536231884058,0.740757304710793,2000,76.04832696914673
20,fcn,DistalPhalanxOutlineAgeGroup,0,0.7410071942446043,0.7416774739601109,0.7410071942446043,0.7465285226374989,2000,52.61691236495972
21,fcn,DistalPhalanxTW,0,0.6618705035971223,0.6364106023843668,0.6618705035971223,0.6198326796066159,2000,52.53627681732178
22,fcn,Earthquakes,0,0.7482014388489209,0.7057899531902861,0.7482014388489209,0.7065035971223023,2000,127.6969428062439
23,fcn,ECG200,0,0.88,0.8792087912087913,0.88,0.8791800356506237,2000,16.30402421951294
24,fcn,ECG5000,0,0.9393333333333334,0.930533851158234,0.9393333333333334,0.9259413876538732,2000,75.45064067840576
25,fcn,ECGFiveDays,0,0.989547038327526,0.9895463332097764,0.989547038327526,0.9896123902600006,2000,6.364121675491333
26,fcn,ElectricDevices,0,0.7359616132797303,0.7229643203476412,0.7359616132797303,0.7434382819101251,2000,1431.398182630539
27,fcn,EOGHorizontalSignal,0,0.6740331491712708,0.6854635772736106,0.6740331491712708,0.7173898882358056,2000,399.4100995063782
28,fcn,EOGVerticalSignal,0,0.425414364640884,0.4190834175806541,0.425414364640884,0.4638406777032526,2000,366.7599828243256
29,fcn,EthanolLevel,0,0.544,0.4774279792782609,0.544,0.5175277010287394,2000,658.2874367237091
30,fcn,FaceAll,0,0.9473372781065088,0.9474558982508892,0.9473372781065088,0.9576054926126456,2000,187.03762459754944
31,fcn,FaceFour,0,0.9090909090909092,0.9093073593073594,0.9090909090909092,0.918371212121212,2000,26.94525623321533
32,fcn,FacesUCR,0,0.944390243902439,0.9431888147311804,0.944390243902439,0.9465418719471708,2000,62.86802005767822
33,fcn,FiftyWords,0,0.4021978021978022,0.276492200316659,0.4021978021978022,0.2213960470647253,2000,155.14456629753113
34,fcn,Fish,0,0.9485714285714286,0.9487264894759696,0.9485714285714286,0.9508256157635468,2000,82.45469689369202
35,fcn,FordA,0,0.9386363636363636,0.938642884067492,0.9386363636363636,0.9386763529113028,2000,1530.0435197353363
36,fcn,FordB,0,0.7975308641975308,0.7972575847781462,0.7975308641975308,0.7986347665673335,2000,1349.575493335724
37,fcn,FreezerRegularTrain,0,0.9971929824561404,0.997192976926763,0.9971929824561404,0.9971969000432874,2000,37.265318155288696
38,fcn,FreezerSmallTrain,0,0.7670175438596492,0.7662623316258774,0.7670175438596492,0.770513689762575,2000,7.708061218261719
39,fcn,GunPoint,0,1.0,1.0,1.0,1.0,2000,9.307310104370115
40,fcn,GunPointAgeSpan,0,0.9240506329113924,0.923904388943956,0.9240506329113924,0.9285317109868184,2000,23.318246364593502
41,fcn,GunPointMaleVersusFemale,0,0.9968354430379748,0.9968359194795888,0.9968354430379748,0.9968564003688488,2000,23.202003240585327
42,fcn,GunPointOldVersusYoung,0,1.0,1.0,1.0,1.0,2000,23.18211245536804
43,fcn,Ham,0,0.7142857142857143,0.7138188608776844,0.7142857142857143,0.7180451127819548,2000,36.28369235992432
44,fcn,HandOutlines,0,0.8216216216216217,0.8080252422233554,0.8216216216216217,0.8406290670155997,2000,1720.1913707256315
45,fcn,Haptics,0,0.4123376623376623,0.365917169271676,0.4123376623376623,0.3608190200274994,2000,128.42074155807495
46,fcn,Herring,0,0.6875,0.6452294685990339,0.6875,0.7208333333333333,2000,28.49051070213318
